iter	Passed	Remaining
0	0	360
1	0	324
2	0	309
3	1	303
4	1	296
5	1	292
6	2	286
7	2	282
8	2	280
9	2	282
10	3	287
11	3	289
12	3	288
13	4	289
14	4	297
15	4	297
16	5	297
17	5	297
18	5	297
19	6	297
20	6	297
21	6	297
22	7	297
23	7	295
24	7	293
25	7	292
26	8	290
27	8	288
28	8	287
29	8	286
30	9	295
31	9	297
32	10	295
33	10	294
34	10	292
35	10	291
36	11	289
37	11	287
38	11	289
39	12	288
40	12	288
41	12	287
42	12	286
43	13	286
44	13	285
45	13	284
46	14	284
47	14	284
48	14	285
49	15	285
50	15	284
51	15	282
52	15	281
53	16	281
54	16	280
55	16	280
56	16	279
57	17	279
58	17	278
59	17	277
60	18	277
61	18	277
62	18	276
63	18	276
64	19	275
65	19	275
66	19	275
67	20	274
68	20	273
69	20	273
70	20	272
71	21	271
72	21	271
73	21	271
74	21	270
75	22	270
76	22	271
77	22	271
78	23	270
79	23	270
80	23	270
81	24	270
82	24	267
83	24	267
84	24	267
85	25	267
86	25	267
87	25	267
88	26	267
89	26	267
90	26	268
91	27	268
92	27	267
93	27	267
94	28	267
95	28	266
96	28	266
97	28	265
98	29	265
99	29	265
100	29	265
101	30	265
102	30	264
103	30	264
104	30	263
105	31	263
106	31	263
107	31	263
108	32	263
109	32	263
110	32	262
111	33	262
112	33	262
113	33	261
114	33	260
115	34	260
116	34	260
117	34	260
118	35	259
119	35	259
120	35	259
121	35	258
122	36	258
123	36	258
124	36	257
125	37	257
126	37	256
127	37	255
128	37	255
129	38	255
130	38	255
131	38	255
132	39	255
133	39	254
134	39	254
135	39	253
136	40	253
137	40	253
138	40	252
139	41	252
140	41	252
141	41	250
142	41	250
143	42	250
144	42	250
145	42	250
146	43	249
147	43	249
148	43	248
149	43	248
150	44	248
151	44	248
152	44	247
153	45	247
154	45	246
155	45	246
156	45	246
157	46	245
158	46	245
159	46	245
160	46	244
161	47	243
162	47	243
163	47	243
164	48	243
165	48	242
166	48	242
167	48	242
168	49	242
169	49	241
170	49	241
171	50	241
